Characteristic,Total persons  at work1,Total,Teleworked some hours2,Teleworked all hours,Persons who did not telework or work at home for pay,Total persons  at work1,Total,Teleworked some hours2,Teleworked all hours,Persons who did not telework or work at home for pay
"Total, 16 years and over",157329,37340,19819,17521,119989,100,23.7,12.6,11.1,76.3
    16 to 24 years,18851,1439,873,567,17412,100,7.6,4.6,3,92.4
       16 to 19 years,5204,175,58,117,5030,100,3.4,1.1,2.2,96.6
       20 to 24 years,13647,1265,815,450,12382,100,9.3,6,3.3,90.7
    25 to 54 years,101798,26734,14430,12304,75064,100,26.3,14.2,12.1,73.7
       25 to 34 years,34573,8301,4498,3803,26272,100,24,13,11,76
       35 to 44 years,35738,10051,5297,4754,25688,100,28.1,14.8,13.3,71.9
       45 to 54 years,31487,8382,4635,3747,23104,100,26.6,14.7,11.9,73.4
    55 years and over,36680,9167,4517,4650,27513,100,25,12.3,12.7,75
       55 to 64 years,25614,6382,3180,3202,19232,100,24.9,12.4,12.5,75.1
       65 years and over,11066,2785,1337,1448,8281,100,25.2,12.1,13.1,74.8
"Men, 16 years and over",83471,17784,10157,7627,65688,100,21.3,12.2,9.1,78.7
    16 to 24 years,9612,697,448,249,8915,100,7.3,4.7,2.6,92.7
    25 to 54 years,54227,12618,7340,5278,41609,100,23.3,13.5,9.7,76.7
       25 to 34 years,18486,3759,2182,1577,14728,100,20.3,11.8,8.5,79.7
       35 to 44 years,19119,4867,2765,2101,14253,100,25.5,14.5,11,74.5
       45 to 54 years,16622,3992,2393,1600,12629,100,24,14.4,9.6,76
    55 years and over,19632,4468,2368,2100,15164,100,22.8,12.1,10.7,77.2
       55 to 64 years,13646,2982,1613,1368,10664,100,21.8,11.8,10,78.2
       65 years and over,5987,1487,755,732,4500,100,24.8,12.6,12.2,75.2
"Women, 16 years and over",73858,19556,9663,9894,54301,100,26.5,13.1,13.4,73.5
    16 to 24 years,9239,742,424,318,8497,100,8,4.6,3.4,92
    25 to 54 years,47571,14116,7090,7027,33455,100,29.7,14.9,14.8,70.3
       25 to 34 years,16087,4542,2317,2226,11544,100,28.2,14.4,13.8,71.8
       35 to 44 years,16619,5184,2531,2653,11435,100,31.2,15.2,16,68.8
       45 to 54 years,14865,4390,2242,2148,10475,100,29.5,15.1,14.4,70.5
    55 years and over,17048,4698,2148,2550,12349,100,27.6,12.6,15,72.4
       55 to 64 years,11968,3400,1566,1834,8568,100,28.4,13.1,15.3,71.6
       65 years and over,5079,1298,582,716,3781,100,25.6,11.5,14.1,74.4
White,120060,28597,15322,13275,91463,100,23.8,12.8,11.1,76.2
    Men,64762,13813,7917,5896,50949,100,21.3,12.2,9.1,78.7
    Women,55298,14784,7406,7378,40514,100,26.7,13.4,13.3,73.3
Black or African American,20284,3650,1778,1872,16635,100,18,8.8,9.2,82
    Men,9864,1392,767,625,8471,100,14.1,7.8,6.3,85.9
    Women,10420,2257,1011,1246,8163,100,21.7,9.7,12,78.3
Asian,10771,3867,2092,1775,6904,100,35.9,19.4,16.5,64.1
    Men,5647,2068,1201,867,3579,100,36.6,21.3,15.4,63.4
    Women,5124,1799,890,908,3325,100,35.1,17.4,17.7,64.9
Hispanic or Latino ethnicity,30773,3795,2050,1746,26978,100,12.3,6.7,5.7,87.7
    Men,17339,1695,1054,641,15645,100,9.8,6.1,3.7,90.2
    Women,13434,2101,995,1105,11333,100,15.6,7.4,8.2,84.4
With a disability,7164,1781,793,988,5383,100,24.9,11.1,13.8,75.1
With no disability,150165,35559,19026,16533,114606,100,23.7,12.7,11,76.3
Foreign born,30461,5854,3100,2754,24607,100,19.2,10.2,9,80.8
Native born,126868,31486,16719,14767,95382,100,24.8,13.2,11.6,75.2
"Married, spouse present",81483,23328,12502,10825,58156,100,28.6,15.3,13.3,71.4
"Widowed, divorced, or separated3",22461,4881,2320,2561,17580,100,21.7,10.3,11.4,78.3
Never married,53384,9132,4998,4134,44253,100,17.1,9.4,7.7,82.9
With own children under 18,48827,13094,7003,6091,35733,100,26.8,14.3,12.5,73.2
With no own children under 18,108502,24246,12816,11430,84256,100,22.3,11.8,10.5,77.7
"Total, 25 years and over",138478,35901,18946,16954,102577,100,25.9,13.7,12.2,74.1
    Less than a high school diploma,8527,322,148,174,8205,100,3.8,1.7,2,96.2
"    High school graduates, no college4",33958,3298,1364,1934,30660,100,9.7,4,5.7,90.3
    Some college or associate degree,33726,6531,2996,3535,27195,100,19.4,8.9,10.5,80.6
    Bachelor's degree and higher5,62267,25749,14438,11311,36518,100,41.4,23.2,18.2,58.6
       Bachelor's degree only,37710,14795,7889,6906,22915,100,39.2,20.9,18.3,60.8
       Advanced degree,24557,10954,6549,4405,13603,100,44.6,26.7,17.9,55.4
